2016-04-09 01:09:25,976 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: COMP_project_1:COMP_project_1:0.0.1-SNAPSHOT @ C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\pom.xml.
2016-04-09 01:09:27,830 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:09:27,832 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:09:29,648 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: COMP_project_1:COMP_project_1:0.0.1-SNAPSHOT @ C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\pom.xml.
2016-04-09 01:09:29,649 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:09:29,650 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:09:30,853 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:09:30,855 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:09:30,857 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:09:30,858 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:10:27,513 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:10:27,514 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:10:27,516 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:10:27,518 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:10:34,905 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-04-09 01:11:36,919 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:11:36,920 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:11:36,921 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:11:36,922 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:12:46,888 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:12:46,889 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:12:46,891 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:12:46,892 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:13:07,836 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:13:07,837 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:13:07,838 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:13:07,840 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:13:31,665 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:13:31,667 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:13:31,669 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:13:31,670 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:14:04,341 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:04,342 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:14:04,344 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:04,345 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:14:33,020 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:33,022 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:14:33,023 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:33,025 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:14:39,475 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:39,477 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:14:39,478 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:39,479 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:14:59,371 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:59,372 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:14:59,374 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:14:59,376 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:15:53,423 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:15:53,424 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:15:53,425 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:15:53,427 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:16:16,126 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:16:16,127 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:16:16,128 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:16:16,129 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:17:51,586 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:17:51,587 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:17:51,588 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:17:51,589 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:18:18,072 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:18:18,074 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
